no_grocery_stores_2009,no_convenience_stores_2009,fast_food_no_2009,snap_benefits_2010_dollars_per_capita,adult_obesity_2008_percentage,median_income_2015,SNAP_stores_2012,WIC_stores_2008,Full_service_rest_2009,diabetes_percentage_2008,soda_sales_tax_2014,FOODINSEC_10_12,Rec_facilities_count_2009,Low_access_to_store_count_2010,Low_access_to_store_no_car_count_2010,Fast_food_expenditure_per_capita,SNAP_redemption_2012_dollars_per_store,LACCESS_HISP15,LACCESS_CHILD10,REDEMP_SNAPS16,LACCESS_WHITE15,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_SENIORS_10_15,PCH_LACCESS_POP_10_15,PCH_LACCESS_LOWI_10_15
6,29,30,17,32,57,37,6,34,11,4,18,4,18428,664,650,301432,471,4823,239024,12641,18428,17497,-9,-5,22
24,119,112,14,26,52,138,25,202,10,4,18,18,35211,1572,650,274395,1378,7916,155844,25483,35211,30561,-13,-13,-1
5,14,21,28,38,31,35,6,12,14,4,18,1,5722,406,650,325497,509,940,281716,2829,5722,6070,7,6,-6
6,19,7,20,32,41,16,6,6,11,4,18,1,1045,275,650,356444,9,249,256027,541,1045,969,-9,-7,21
6,31,24,19,32,50,38,10,19,11,4,18,3,1548,705,650,229730,497,385,141305,3387,1548,3724,159,141,171
2,2,4,32,38,28,14,2,2,15,4,18,0,4090,273,650,211589,24,607,210721,1462,4090,4142,2,1,-2
3,24,17,29,37,34,27,6,19,15,4,18,0,1308,395,650,345605,11,265,305224,730,1308,1304,0,0,3
25,88,95,27,34,42,138,22,67,15,4,18,7,30901,1252,650,315618,971,6960,261900,21058,30901,27786,-10,-10,-9
7,22,22,28,36,36,34,6,19,16,4,18,2,6748,617,650,327936,127,1532,270584,4281,6748,7132,8,6,17
4,14,16,25,32,39,31,5,10,14,4,18,1,79,379,650,242355,0,17,178752,101,79,104,49,30,67
7,37,23,27,35,43,47,7,17,10,4,18,3,1457,500,650,247912,81,333,164782,1126,1457,1470,2,1,-14
4,16,4,28,37,35,16,5,7,15,4,18,0,2612,381,650,199087,11,534,201086,744,2612,2703,3,3,-37
6,18,23,29,36,37,40,14,13,14,4,18,2,5061,752,650,404583,81,1361,344828,2229,5061,5713,16,13,-1
3,8,4,17,32,39,10,3,7,13,4,18,0,743,186,650,181440,11,164,117260,558,743,643,-19,-13,21
3,11,7,22,29,42,17,5,4,11,4,18,0,147,209,650,157972,14,32,157603,772,147,790,284,438,286
7,30,35,15,33,47,38,7,31,12,4,18,5,11395,884,650,306212,607,2727,266669,8462,11395,10486,-26,-8,-19
9,43,41,20,35,41,56,11,40,14,4,18,4,9520,532,650,263129,199,2272,154332,9456,9520,11096,17,17,29
3,16,5,39,32,30,23,2,4,15,4,18,0,3726,372,650,137903,22,723,160814,2548,3726,3558,-4,-4,-11
0,9,0,20,33,36,5,2,0,13,4,18,0,2837,169,650,218925,29,498,174850,2311,2837,2829,0,0,55
10,27,25,25,34,36,49,10,24,13,4,18,2,3334,663,650,305199,26,682,232920,3387,3334,3769,11,13,43
4,12,3,25,34,37,20,6,9,13,4,18,0,5384,373,650,167601,36,1297,159005,3872,5384,5279,-3,-2,8
10,54,50,17,30,39,78,9,44,12,4,18,4,6295,985,650,224490,367,1478,171701,5595,6295,5900,-13,-6,-1
7,33,33,25,34,45,37,8,31,14,4,18,2,13847,539,650,340056,1217,3824,213684,10040,13847,14037,-1,1,3
9,39,20,49,40,30,56,14,16,16,4,18,1,7786,1067,650,505115,51,1960,513411,1865,7786,7640,-2,-2,0
12,46,41,23,32,37,84,12,35,11,4,18,4,2680,1110,650,226782,1078,890,205212,1727,2680,2680,0,0,-4
10,57,29,18,29,54,66,12,34,10,4,18,4,15012,879,650,350018,421,3157,246114,9448,15012,15064,-4,0,6
8,33,22,31,34,37,42,6,20,12,4,18,2,5189,558,650,319668,96,1286,261083,3015,5189,5059,5,-3,-5
19,63,82,20,31,42,101,18,54,12,4,18,9,24779,1164,650,271338,517,5287,182276,18782,24779,23290,-6,-6,9
5,7,12,26,32,37,13,5,5,13,4,18,0,438,248,650,405875,6,110,392463,288,438,407,7,-7,2
6,23,22,25,30,39,31,6,17,13,4,18,3,3074,459,650,348543,597,814,260103,3073,3074,3663,24,19,13
11,15,10,26,32,36,23,6,8,13,4,18,0,606,182,650,348480,19,135,220299,537,606,605,0,0,0
5,8,1,44,44,25,15,2,3,18,4,18,0,3287,301,650,149921,20,794,105612,409,3287,2963,-9,-10,2
4,13,5,30,40,35,15,4,5,15,4,18,0,87,507,650,295879,12,26,247637,1261,87,1865,2407,2040,1954
4,13,10,23,34,43,18,4,9,14,4,18,1,386,346,650,135975,5,95,140677,603,386,805,220,109,114
14,63,83,23,33,44,121,18,75,12,4,18,6,21404,997,650,330164,688,5583,266447,13378,21404,18341,-5,-14,-14
15,34,30,20,32,40,55,12,29,12,4,18,2,4855,752,650,220545,208,1129,172164,3665,4855,4219,-10,-13,-20
108,433,578,22,31,48,552,103,368,12,4,18,74,209261,7538,650,364832,7098,50219,294128,94906,209261,205658,-3,-2,7
4,8,7,23,31,37,12,4,10,13,4,18,0,92,209,650,241561,1,19,177099,220,92,230,191,149,109
15,57,61,17,29,43,81,17,61,13,4,18,7,14584,903,650,274113,301,3032,197130,10957,14584,12476,-13,-14,-10
7,18,25,21,33,42,27,6,15,13,4,18,1,1349,465,650,267728,21,335,228470,1368,1349,1648,29,22,29
13,74,108,15,30,46,88,13,94,10,4,18,8,43795,1539,650,339127,955,9269,249132,26724,43795,36836,-23,-16,8
12,58,45,17,29,55,62,8,35,10,4,18,4,10137,872,650,263637,427,1936,175281,6815,10137,9339,-6,-8,-11
2,10,2,47,41,31,17,6,0,17,4,18,1,5503,553,650,127113,23,1269,107954,609,5503,2540,-58,-54,-50
5,14,10,48,40,30,13,4,5,16,4,18,0,7506,843,650,523231,88,1745,310090,571,7506,8051,1,7,13
35,211,300,13,31,59,228,35,222,13,4,18,50,110052,2828,650,301029,4986,26276,237182,57839,110052,88544,-21,-20,-8
4,22,16,29,38,35,26,8,12,16,4,18,2,5587,413,650,395813,37,1401,376333,2039,5587,5125,-5,-8,-17
5,18,26,24,29,35,23,8,20,12,4,18,1,538,438,650,366488,25,135,284760,1872,538,1929,270,259,412
19,65,70,20,27,41,89,15,70,12,4,18,2,12814,1256,650,362776,1974,3483,276264,8632,12814,10485,-21,-18,-21
60,260,253,29,30,43,463,64,212,12,4,18,32,112774,3562,650,341039,2040,28440,270103,64582,112774,103769,-6,-8,-3
7,15,10,29,35,35,26,11,8,14,4,18,0,7149,629,650,328256,29,1803,270653,2316,7149,5712,-19,-20,-24
33,131,169,29,34,43,195,35,139,13,4,18,18,64260,2359,650,491174,3031,16619,395557,19164,64260,66181,-9,3,29
22,91,100,17,35,47,100,17,57,11,4,18,6,14010,1008,650,287713,929,3574,195545,12662,14010,15514,10,11,16
5,8,2,53,41,26,19,5,5,18,4,18,0,972,454,650,221440,3,164,243664,568,972,882,-6,-9,-13
4,11,6,25,35,33,24,7,6,15,4,18,2,851,605,650,190677,7,191,146602,292,851,529,-31,-38,-58
9,17,30,29,35,34,40,6,20,13,4,18,2,3733,571,650,314544,40,920,275971,2768,3733,4535,15,22,9
4,17,11,32,32,37,18,5,17,13,4,18,1,1061,422,650,387949,132,272,239701,2205,1061,3375,181,218,233
8,37,44,36,37,36,53,13,25,14,4,18,4,8512,756,650,532816,187,2026,359483,3353,8512,6226,-23,-27,-29
11,52,48,18,34,54,66,15,48,11,4,18,2,3744,944,650,310506,94,918,210077,3951,3744,4562,21,22,35
26,100,128,9,28,71,101,26,133,8,4,18,24,52014,969,650,259650,2433,13435,190095,40786,52014,47122,-6,-9,13
3,19,7,40,41,26,17,6,5,17,4,18,1,2224,446,650,264817,7,532,183036,470,2224,2305,6,4,-2
7,78,49,26,34,38,89,10,45,14,4,18,3,12352,1226,650,282522,275,2874,203738,7740,12352,11038,-11,-11,-1
5,39,24,25,34,39,34,6,22,14,4,18,3,4598,999,650,406724,97,1000,247876,2544,4598,3485,-21,-24,-11
27,108,158,17,33,48,152,24,104,11,4,18,16,39478,1716,650,316756,859,8714,253898,21741,39478,34860,-12,-12,-12
12,51,45,22,33,37,62,12,39,13,4,18,6,7530,1252,650,349148,435,1671,256096,6112,7530,7859,0,4,34
3,10,4,23,35,43,17,4,6,13,4,18,1,1708,324,650,77990,6,454,78852,1081,1708,1479,-14,-13,3
10,7,6,52,41,23,21,9,6,17,4,18,0,5173,565,650,121598,41,1375,112380,960,5173,4997,-4,-3,11
8,22,12,19,29,36,25,11,19,10,4,18,0,1011,206,650,241757,41,233,199346,1399,1011,1459,54,44,83
4,0,1,9,28,57,5,3,0,6,0,12,0,1226,113,583,83764,280,56,63890,508,1226,2203,125,80,57
3,1,2,9,30,81,5,3,3,6,0,12,0,764,108,583,92417,68,77,91142,306,764,1243,85,63,14
37,61,207,17,27,78,116,21,208,7,0,12,34,87979,1037,583,534784,5558,22920,467187,58057,87979,80040,-11,-9,12
25,5,5,50,32,45,57,21,4,6,0,12,1,13273,2831,583,343123,75,4871,425981,723,13273,11505,-11,-13,9
3,0,0,19,33,66,2,1,2,7,0,12,0,434,59,583,,24,92,,481,434,997,97,129.6480622,143.8485761
0,4,1,8,30,73,0,0,7,6,0,12,0,1826,22,583,0,42,411,0,1637,1826,1826,0,0,23.78190168
5,2,0,51,39,51,9,6,3,8,0,12,0,1579,419,583,338985,25,561,345044,142,1579,2462,51,55.93142787,94.97731424
8,25,43,12,26,71,25,8,59,5,0,12,8,36249,1154,583,664184,2125,9639,523589,26237,36249,33612,-20,-7.27371813,-27.07220276
3,0,1,12,29,58,3,1,6,7,0,12,0,519,23,583,,13,99,,446,519,519,0,-0.065786221,52.1668617
0,0,0,28,0,54,7,3,0,0,0,12,0,1695,258,583,98734,77,337,104228,1004,1695,2137,24,26.07730882,20.62011252
7,4,22,17,27,83,13,5,32,5,0,12,7,10138,348,583,489246,507,2608,476496,7191,10138,10063,-1,-0.744564856,-3.722025428
21,21,36,15,30,62,34,11,69,6,0,12,9,11290,740,583,302536,278,2785,248258,8810,11290,10889,-6,-3.551056621,-1.217592324
3,5,7,23,34,65,8,4,13,7,0,12,5,1036,118,583,562339,42,248,507825,726,1036,1063,-1,2.560116727,81.62132027
4,1,6,12,26,68,10,3,9,6,0,12,0,1416,230,583,205897,102,410,172333,1328,1416,1949,0,37.65012022,24.56439522
1,0,0,51,34,42,6,3,0,7,0,12,0,1631,296,583,70452,43,492,89282,378,1631,1629,-1,-0.141899072,-5.222250774
13,22,36,17,28,77,37,10,45,6,0,12,8,20436,820,583,515512,846,5613,381813,19619,20436,23011,14,12.60306079,32.06663457
15,1,4,47,33,53,29,18,5,7,0,12,0,5066,1233,583,338898,23,1927,394652,357,5066,5276,8,4.144054953,5.905351637
10,2,4,29,38,71,13,8,5,7,0,12,1,3629,312,583,291025,121,338,251280,2473,3629,5522,107,52.18351766,245.533375
6,2,1,41,31,54,19,13,0,7,0,12,0,4322,838,583,315459,15,1619,293507,334,4322,4322,0,-0.006342287,5.328567584
0,0,0,18,0,63,3,3,0,0,0,12,0,183,84,583,,9,49,180835,149,183,180,-3,-1.69797714,-57.21967736
0,0,0,31,0,45,8,3,0,0,0,12,0,1391,102,583,255923,31,252,265762,1273,1391,1759,24,26.47909798,88.37427877
4,2,4,15,31,68,3,3,10,7,0,12,2,1617,67,583,,68,391,358412,1137,1617,1632,1,0.923565919,-29.8869772
0,0,0,27,0,66,1,1,0,0,0,12,0,3,1,583,,0,0,,3,3,3,0,0,-47.73468343
4,6,6,24,31,60,7,5,8,6,0,12,0,2043,114,583,222884,56,487,202538,2354,2043,3323,76,62.63495454,105.359854
8,7,9,13,33,70,16,7,10,6,0,12,2,2694,212,583,76043,164,617,65758,3751,2694,5011,37,86.01758378,40.9751925
17,1,0,0,33,0,22,14,0,6,0,12,0,4955,1195,583,493182,3,2090,579464,124,4955,4615,10,-6.863207811,-5.118224343
0,0,0,21,0,55,3,1,0,0,0,12,0,511,21,583,,6,106,,419,511,511,0,0,202.3076872
2,0,1,19,29,54,2,2,0,7,0,12,0,3,10,583,,17,0,,281,3,662,10050,26147.41943,28363.00505
12,5,0,44,32,38,38,10,2,7,0,12,0,5588,1112,583,90934,66,1552,83256,1243,5588,5588,0,1.79034E-13,-0.684688836
10,35,15,40,32,31,60,32,19,14,0,20,3,46747,2718,761,386675,1988,14661,387090,8602,46747,50447,7,7.914970193,8.130583538
17,60,52,21,23,43,101,18,100,8,0,20,12,51625,1505,761,344039,12498,11390,344830,44250,51625,55219,2,6.960246963,17.30398391
19,82,112,22,21,52,78,25,160,7,0,20,11,40657,1324,761,511542,3414,10817,341872,19895,40657,41436,3,1.91447054,5.61881962
9,28,33,29,26,41,44,8,49,11,0,20,7,12811,776,761,457717,1895,2667,415596,10838,12811,17451,27,36.21599689,37.07927406
7,17,16,25,30,44,25,5,17,9,0,20,3,11663,529,761,490805,3199,3189,401117,7617,11663,13894,8,19.13784967,38.70479425
1,7,3,18,33,59,10,1,6,8,0,20,0,5957,199,761,96642,2610,1722,85794,4669,5957,5896,-1,-1.036634644,18.08979764
11,22,15,26,29,35,32,6,24,12,0,20,0,8878,616,761,188261,1053,897,153323,7541,8878,8847,0,-0.349257879,0.065799897
512,999,2674,20,23,56,2095,395,2191,7,0,20,280,492281,11074,761,452619,129064,117943,354004,389366,492281,511216,11,3.846261053,19.96221662
19,90,109,24,27,40,128,22,123,11,0,20,13,88374,2019,761,544511,11759,16408,357947,78106,88374,88342,1,-0.036132664,15.98686417
18,55,55,42,28,38,84,26,77,13,0,20,3,35575,2587,761,607585,2867,10663,495089,12403,35575,41411,7,16.40527481,37.15061539
128,282,590,21,24,47,587,93,607,8,0,20,106,232208,4801,761,460714,63978,50095,352251,163853,232208,218482,-3,-5.911266964,5.784988025
33,74,122,18,29,51,157,33,98,8,0,20,9,65190,3549,761,496772,22056,12923,396879,62935,65190,80762,10,23.88655064,50.97881502
9,18,31,28,21,35,26,5,41,6,0,20,1,13052,214,761,699185,9295,3810,598361,9691,13052,12583,-5,-3.59236511,18.79986074
34,81,141,17,20,47,135,21,204,8,0,20,24,70248,2059,761,331629,9574,13799,213367,61621,70248,68597,-3,-2.349678725,4.347888313
34,64,103,24,27,40,107,23,83,10,0,20,9,43753,1327,761,596813,20259,12315,527268,29074,43753,39777,-9,-9.087536031,-8.857608828
5,10,18,25,35,41,18,5,12,13,2,15,1,4198,228,576,342425,218,843,230348,4235,4198,7184,41,71.13839177,124.949728
8,14,13,29,36,40,22,6,9,11,2,15,0,4342,365,576,293107,185,1040,271583,2525,4342,4634,6,6.733899777,6.275808731
7,27,31,15,27,37,28,6,44,12,2,15,4,4980,528,576,305157,82,956,186812,4470,4980,4618,-8,-7.265187688,-18.42721861
30,79,137,11,28,60,131,21,132,8,2,15,24,43591,1771,576,266687,7065,12367,169522,27678,43591,34547,-13,-20.74895722,-16.32030661
4,18,25,18,28,41,37,4,23,10,2,15,0,11075,468,576,296392,140,2452,191288,8112,11075,8412,-22,-24.04574649,-3.737878023
3,7,4,28,32,37,10,2,5,12,2,15,1,1255,115,576,344171,87,290,242256,857,1255,1240,5,-1.165324688,10.18660346
2,2,2,15,32,41,5,1,2,13,2,15,0,3508,87,576,63909,91,740,43407,2557,3508,3494,0,-0.403176415,2.096645677
5,15,19,14,26,38,24,5,50,11,2,15,3,2359,230,576,212866,293,601,147914,1707,2359,1943,-17,-17.62660828,-5.947940281
5,11,6,38,36,30,15,4,8,15,2,15,1,602,179,576,236491,335,150,138207,3179,602,7116,1278,1082.658603,1032.352003
5,10,20,18,31,38,13,4,11,10,2,15,4,2102,331,576,370179,559,425,201699,6489,2102,9423,191,348.1990735,448.4539915
3,6,11,17,31,35,14,3,9,12,2,15,1,1676,150,576,150414,17,336,131674,1615,1676,1646,-4,-1.783056997,-14.32603302
